Company_name,Contact_id,Region,Country
The Travelers Companies Inc.,00v2000000NaiTsAAJ,EMEA,Sweden
Transamerica Corporation,00v2000000gN1o4AAC,EMEA,Sweden
Transamerica Corporation,00v2000000XQVMQAA5,EMEA,Sweden
Transamerica Corporation,00v2000000ZARjDAAX,EMEA,Sweden
U.S. Bancorp,00v2000000fiODSAA2,EMEA,Sweden
U.S. Bancorp,00v2000000g5WOlAAM,EMEA,Sweden
U.S. Bancorp,00v2000000PNEiCAAX,EMEA,Sweden
UBS,00v2000000JdQoLAAV,EMEA,Sweden
UBS,00v2000000Mir2EAAR,EMEA,Switzerland
UBS,00v2000000OVkJcAAL,EMEA,Switzerland
Visa Inc.,00v2000000e0kQHAAY,EMEA,Switzerland
Visa Inc.,00v2000000Wn5CGAAZ,EMEA,Switzerland
Visa Inc.,00v2000000RBtOPAA1,EMEA,Switzerland
Washington Mutual,00v2000000TMIEAAA5,EMEA,Switzerland
Washington Mutual,00v2000000LNm36AAD,EMEA,Switzerland
Washington Mutual,00v2000000LNmEnAAL,EMEA,Switzerland
Wells Fargo & Company,00v2000000LNmJEAA1,EMEA,Switzerland
Wells Fargo & Company,00v2000000Mii8YAAR,EMEA,Switzerland
Wells Fargo & Company,00v2000000QEVS9AAP,EMEA,Switzerland
American Express Company,00v2000000NautOAAR,EMEA,Switzerland
American Express Company,00v2000000Lm5ZrAAJ,EMEA,Switzerland
Bank of America Corporation,00v2000000MMnERAA1,EMEA,Switzerland
Bank of America Corporation,00v2000000MhWo2AAF,EMEA,Switzerland
Bank of America Corporation,00v2000000FkZf9AAF,EMEA,Switzerland
Bank One Corporation,00v2000000gcIZNAA2,EMEA,Switzerland
Bank One Corporation,00v2000000Ybv2yAAB,EMEA,Switzerland
Bank One Corporation,00v2000000G3j1EAAR,EMEA,Switzerland
Bear Stearns,00v2000000XxS7iAAF,EMEA,Switzerland
Bear Stearns,00v2000000H4PB1AAN,EMEA,Switzerland
Bear Stearns,00v2000000Mjf5JAAR,EMEA,Switzerland
Bloomberg,00vD000000h1Ob1IAE,EMEA,Switzerland
Bloomberg,00v2000000LmADbAAN,EMEA,Switzerland
Bloomberg,00v2000000Ll4jmAAB,EMEA,Switzerland
Bloomberg LP,00v2000000Ka4dVAAR,EMEA,Switzerland
Bloomberg LP,00v2000000KrY1mAAF,EMEA,Switzerland
Bloomberg LP,00v2000000KrZfkAAF,EMEA,Switzerland
Capital One Financial Corporation,00v2000000VhpzaAAB,EMEA,Switzerland
Capital One Financial Corporation,00v2000000FDUuRAAX,EMEA,Switzerland
Capital One Financial Corporation,00v2000000TMZvzAAH,EMEA,Switzerland
CIT Group,00v2000000FDlBCAA1,EMEA,Switzerland
CIT Group,00v2000000TNizxAAD,EMEA,Switzerland
CIT Group,00v2000000GdHmUAAV,EMEA,Germany
Citigroup,00v2000000GcPajAAF,EMEA,Germany
Citigroup,00v2000000GcNMhAAN,EMEA,Germany
Citigroup,00v2000000VBv0tAAD,EMEA,Germany
CitiGroup Global Markets Inc.,00v2000000GeicGAAR,EMEA,Germany
CitiGroup Global Markets Inc.,00v2000000GcXqoAAF,EMEA,Germany
CitiGroup Global Markets Inc.,00v2000000Fl3roAAB,EMEA,Germany
Citizens Financial,00v2000000HSxLKAA1,EMEA,Germany
Citizens Financial,00v2000000HT5rlAAD,EMEA,Germany
Citizens Financial,00v2000000HQ9xxAAD,EMEA,Germany
The Equitable,00v2000000I1fArAAJ,EMEA,Germany
The Equitable,00v2000000I1OTVAA3,EMEA,Germany
The Equitable,00v2000000I4abrAAB,EMEA,Germany
The Guardian Life Insurance Company of America,00v2000000JBl7MAAT,EMEA,Germany
The Guardian Life Insurance Company of America,00v2000000JdVxRAAV,EMEA,Germany
The Guardian Life Insurance Company of America,00v2000000IaHeIAAV,EMEA,Germany
The Travelers Companies Inc.,00v2000000IZxpPAAT,EMEA,Germany
The Travelers Companies Inc.,00v2000000Ibk7ZAAR,EMEA,Germany
The Travelers Companies Inc.,00v2000000JdPkfAAF,EMEA,Germany
Independent,00v2000000KWVlHAAX,EMEA,Germany
ING Groep,00v2000000KWWonAAH,EMEA,Germany
Deloitte Touche Tohmatsu,00v2000000KZEynAAH,EMEA,Germany
HSBC USA,00v2000000M51IqAAJ,EMEA,Germany
Deutsche Bank,00v2000000M5X9PAAV,EMEA,Germany
First of America Bank,00v2000000M9BKvAAN,EMEA,Germany
Mellon Financial,00v2000000Mk6wZAAR,EMEA,Germany
CIT Group,00v2000000Mjgr1AAB,EMEA,Germany
AIG SunAmerica,00v2000000Mi8lLAAR,EMEA,Germany
Deutsche Bank AG,00v2000000MiZ6BAAV,EMEA,Germany
ING Groep NV,00v2000000M6R6cAAF,EMEA,Germany
CountryWide Financial Corporation,00v2000000NZLCrAAP,EMEA,Germany
Legg Mason Inc.,00v2000000Na3VWAAZ,EMEA,Germany
Fifth Third Bancorp,00v2000000OVqQNAA1,EMEA,Germany
Norwest Venture Capital Management Inc.,00v2000000PLsQ9AAL,EMEA,Germany
HSBC Holding PLC,00v2000000PKjqLAAT,EMEA,Germany
Pacific Life Insurance Company,00v2000000OSKaMAAX,EMEA,Germany
Massachusetts Mutual Life Insurance Company,00v2000000NcmdxAAB,EMEA,Germany
National City Corporation,00v2000000NclNBAAZ,EMEA,Germany
Pacific Mutual Holding Company,00v2000000QDtmoAAD,EMEA,Germany
The Equitable,00v2000000QELfMAAX,EMEA,Germany
KeyBank National Association,00v2000000QFhg6AAD,EMEA,Germany
The Guardian Life Insurance Company of America,00v2000000RAkX9AAL,EMEA,Germany
Diebold Inc.,00v2000000SJbXHAA1,EMEA,Germany
Moody’s Corporation,00v2000000RBUkTAAX,EMEA,Germany
The Travelers Companies Inc.,00v2000000RAxlyAAD,EMEA,Germany
HSBC,00v2000000U2Q7cAAF,EMEA,Germany
HSBC,00v2000000VAgJKAA1,EMEA,Germany
HSBC,00v2000000WxExRAAV,EMEA,Germany
HSBC,00v2000000WwZjLAAV,EMEA,Germany
HSBC,00v2000000XRAC5AAP,EMEA,Germany
HSBC,00vD000000h3buyIAA,EMEA,Germany
HSBC,00v2000000VipN9AAJ,EMEA,Germany
HSBC,00v2000000Z9RHrAAN,EMEA,Germany
HSBC,00v2000000aFN1NAAW,EMEA,Germany
HSBC,00v2000000c8pK0AAI,EMEA,Germany
HSBC,00v2000000d3NA7AAM,EMEA,Germany
HSBC,00v2000000dW3H0AAK,EMEA,Germany
HSBC,00v2000000dXLEIAA4,EMEA,Germany
HSBC,00v2000000eXjFcAAK,EMEA,Germany
HSBC,00v2000000fgh1gAAA,EMEA,Germany
HSBC,00v2000000fI9OJAA0,EMEA,Germany
HSBC,00v2000000fjrSFAAY,EMEA,Germany
HSBC,00v2000000g6kQvAAI,EMEA,Germany
HSBC,00v2000000Sm4GYAAZ,EMEA,Germany
HSBC,00v2000000d08cYAAQ,EMEA,Germany
HSBC,00v2000000JcAYLAA3,EMEA,UK
HSBC,00v2000000RBjvdAAD,EMEA,UK
HSBC,00v2000000cAcifAAC,EMEA,UK
HSBC,00v2000000TzxfUAAR,EMEA,UK
HSBC,00v2000000LNCC4AAP,EMEA,UK
HSBC,00v2000000VkJ7HAAV,EMEA,UK
HSBC,00v2000000gTO28AAG,EMEA,UK
HSBC,00v2000000feSGyAAM,EMEA,UK
HSBC,00v2000000bFmbLAAS,EMEA,UK
HSBC,00v2000000bnkNcAAI,EMEA,UK
HSBC,00v2000000bGVGpAAO,EMEA,UK
HSBC,00v2000000HPhJtAAL,EMEA,UK
HSBC,00v2000000RD8MHAA1,EMEA,UK
HSBC,00v2000000U2zWUAAZ,EMEA,UK
HSBC,00v2000000KLuJuAAL,EMEA,UK
HSBC,00vD000000h815rIAA,EMEA,UK
HSBC,00v2000000KNlHtAAL,EMEA,UK
HSBC,00v2000000aF7VHAA0,EMEA,UK
HSBC,00v2000000MhXNdAAN,EMEA,UK
HSBC,00v2000000RBBp2AAH,EMEA,UK
HSBC,00v2000000Ku810AAB,EMEA,UK
HSBC,00v2000000aFQ3uAAG,EMEA,UK
HSBC,00v2000000RCMgqAAH,EMEA,UK
HSBC,00v2000000NcqMZAAZ,EMEA,UK
HSBC,00v2000000SKuQhAAL,EMEA,UK
HSBC,00v2000000XyutmAAB,EMEA,UK
HSBC,00v2000000U46yMAAR,EMEA,UK
HSBC,00v2000000Lm2ZiAAJ,EMEA,UK
HSBC,00v2000000g41LPAAY,EMEA,UK
HSBC,00v2000000HSyMhAAL,EMEA,UK
HSBC,00v2000000FD02sAAD,EMEA,UK
HSBC,00v2000000FRWsKAAX,EMEA,UK
HSBC,00v2000000NZKJtAAP,EMEA,UK
HSBC,00v2000000gMgduAAC,EMEA,UK
HSBC,00v2000000MhyfAAAR,EMEA,UK
HSBC,00v2000000H3mFGAAZ,EMEA,UK
HSBC,00v2000000H4SFnAAN,EMEA,UK
HSBC,00v2000000HTLJHAA5,EMEA,UK
HSBC,00v2000000HQiQjAAL,EMEA,UK
HSBC,00v2000000JAmgEAAT,EMEA,UK
HSBC,00v2000000JAjegAAD,EMEA,UK
HSBC,00v2000000IbcqpAAB,EMEA,UK
HSBC,00v2000000JBX8sAAH,EMEA,UK
HSBC,00v2000000Ibgh3AAB,EMEA,UK
HSBC,00v2000000IZxjaAAD,EMEA,UK
HSBC,00v2000000JAzFEAA1,EMEA,UK
HSBC,00v2000000IbBtPAAV,EMEA,UK
HSBC,00v2000000JBo3lAAD,EMEA,UK
HSBC,00v2000000JbNtrAAF,EMEA,UK
HSBC,00v2000000Jb6DUAAZ,EMEA,UK
HSBC,00v2000000LNPXzAAP,EMEA,UK
HSBC,00v2000000Llj8UAAR,EMEA,UK
HSBC,00v2000000Lm64GAAR,EMEA,UK
HSBC,00v2000000NavjLAAR,EMEA,UK
HSBC,00v2000000fxNEFAA2,EMEA,UK
HSBC,00v2000000M629qAAB,EMEA,UK
HSBC,00v2000000JbnjfAAB,EMEA,UK
HSBC,00v2000000KtVlxAAF,EMEA,UK
HSBC,00v2000000M8HfFAAV,EMEA,UK
HSBC,00v2000000M7klGAAR,EMEA,UK
HSBC,00v2000000MhL26AAF,EMEA,UK
HSBC,00v2000000MhleVAAR,EMEA,UK
HSBC,00v2000000MjBFzAAN,EMEA,UK
HSBC,00v2000000MjjnWAAR,EMEA,UK
HSBC,00v2000000Nb1nEAAR,EMEA,UK
HSBC,00v2000000NbOY6AAN,EMEA,UK
HSBC,00v2000000NbU2YAAV,EMEA,UK
HSBC,00v2000000Ncg5eAAB,EMEA,UK
HSBC,00v2000000NclHmAAJ,EMEA,UK
HSBC,00v2000000NcmuCAAR,EMEA,UK
HSBC,00v2000000NcotCAAR,EMEA,UK
HSBC,00v2000000NcoqtAAB,EMEA,UK
HSBC,00v2000000NdBgBAAV,EMEA,UK
HSBC,00v2000000OSNcqAAH,EMEA,UK
HSBC,00v2000000OSJvEAAX,EMEA,UK
HSBC,00v2000000Nd9ThAAJ,EMEA,UK
HSBC,00v2000000OSN2kAAH,EMEA,UK
HSBC,00v2000000OSNwaAAH,EMEA,UK
HSBC,00v2000000NdUBqAAN,EMEA,UK
HSBC,00v2000000NcqWbAAJ,EMEA,UK
HSBC,00v2000000Nbuk0AAB,EMEA,UK
HSBC,00v2000000OSbjrAAD,EMEA,UK
HSBC,00v2000000OSddiAAD,EMEA,UK
HSBC,00v2000000NdF40AAF,EMEA,UK
HSBC,00v2000000OSf1HAAT,EMEA,UK
HSBC,00v2000000OUPDbAAP,EMEA,UK
HSBC,00v2000000OTahPAAT,EMEA,UK
HSBC,00v2000000OTdIYAA1,EMEA,UK
HSBC,00v2000000OUf8zAAD,EMEA,UK
HSBC,00v2000000PMlOhAAL,EMEA,UK
HSBC,00v2000000PLBYsAAP,EMEA,UK
HSBC,00v2000000QEeGAAA1,EMEA,UK
HSBC,00v2000000OUu1oAAD,EMEA,UK
HSBC,00v2000000QDKXSAA5,EMEA,UK
HSBC,00v2000000OUDAsAAP,EMEA,UK
HSBC,00v2000000Wm6NlAAJ,EMEA,UK
HSBC,00v2000000eqEXvAAM,EMEA,UK
HSBC,00v2000000XQR5lAAH,EMEA,UK
HSBC,00v2000000XR6QkAAL,EMEA,UK
HSBC,00v2000000TNy2DAAT,EMEA,UK
HSBC,00v2000000ZAataAAD,EMEA,UK
HSBC,00v2000000ZCyVZAA1,EMEA,UK
HSBC,00v2000000c8C2gAAE,EMEA,UK
HSBC,00v2000000eqKOfAAM,EMEA,UK
HSBC,00v2000000JbUu0AAF,EMEA,UK
HSBC,00v2000000M7XYUAA3,EMEA,UK
HSBC,00v2000000G7FSAAA3,EMEA,UK
HSBC,00v2000000FCzgJAAT,EMEA,UK
HSBC,00v2000000eJcdeAAC,EMEA,UK
HSBC,00v2000000HTbaxAAD,EMEA,UK
BlackRock,00v2000000IbEkXAAV,EMEA,UK
BlackRock,00v2000000JbpIyAAJ,EMEA,UK
BlackRock,00v2000000MgoAfAAJ,EMEA,UK
BlackRock,00v2000000NaKEvAAN,EMEA,UK
BlackRock,00v2000000OSlV4AAL,EMEA,UK
BlackRock,00v2000000OVa5OAAT,EMEA,UK
BlackRock,00v2000000PLYgOAAX,EMEA,UK
BlackRock,00v2000000PMSqpAAH,EMEA,UK
BlackRock,00v2000000SL6V6AAL,EMEA,UK
BlackRock,00v2000000aE1qxAAC,EMEA,UK
BlackRock,00v2000000aF3BpAAK,EMEA,UK
BlackRock,00v2000000dVAw2AAG,EMEA,UK
BlackRock,00v2000000XvSeaAAF,EMEA,UK
